community_id,person_id
82,61; 620; 2561; 2584; 2595; 2606; 2774; 2789; 2899; 3010; 3890; 3902; 3903; 3904; 3906; 3936; 3939; 5997; 6134; 6138; 6147; 6405; 6578; 6721; 7038; 7040; 7637; 8181; 8964; 9171; 10093; 10536; 10824; 11299; 12405; 13230; 13232; 13233; 13236; 13237; 13238; 13239; 13240; 13242; 13429; 13430; 13431; 13432; 13433; 13434; 13435; 13436; 13437; 13438; 13439; 13440; 13442; 13443; 13445; 13446; 13447; 13448; 13450; 13613; 13625; 13821
15,2662; 2665; 3178; 4354; 4358; 5511; 9126; 10355; 10878; 11385
1161,9482
124,3937
121,3940; 4113
1096,8972; 9047; 9105; 9190
954,8538; 8551; 12980
944,13435
285,2328; 3778; 3782; 4276; 5137; 13095; 13097
323,2819; 4492; 13113
278,2328; 3778; 3788; 3789; 3791; 6340; 6690; 8116; 13095; 13096; 13102; 13113
1323,13617
476,3107; 6099; 6499; 9693; 13226
215,1659; 2589; 2640; 2662; 2683; 2776; 4358; 5924; 5926; 5927; 5928; 8126; 8181; 8825; 9201; 10898; 11385; 12264; 13078; 13686
563,13205
615,4249; 5408; 11285; 13863
254,3436; 3485; 5457; 9083; 9579; 9612; 10412; 12980
52,3006; 3937; 4358; 7114; 11285; 13863
713,6134; 6726
1431,3485; 3627; 9612; 10617
808,13118
245,2980; 13091; 13093; 13131
682,10528; 10742; 12553
93,3673; 3936; 4167; 4170
87,2338; 2670; 2801; 3028; 3307; 3736; 3759; 3822; 4348; 4349; 4350; 4352; 8361; 8637; 10442; 10531; 10536; 10857; 11441; 11865; 11877; 11898; 11909; 11942; 11986; 13125; 13740; 13743
97,4115
472,2541; 2640; 2730; 4228; 4291; 4358; 4691; 6499; 8126; 8181; 8507; 8825; 8892; 9047; 9622; 9990; 10018; 10355; 11385; 12180; 13230; 13659; 13686; 13692; 13707; 13721; 13747; 13837; 13838; 13839; 13840; 13841; 13860
1237,10579
473,6489
519,11603; 12980
44,8177; 9895; 9929; 12980
1013,8624; 9190; 13511
1676,9895
78,4175; 6578; 13434
1674,9895
565,3866; 3883; 8675
1004,9254
697,8650; 8651; 9083
838,4265; 5426
1097,11246
1016,8603
48,2541; 4185; 4272; 4676; 9579; 12171
430,8625; 8972
259,9254
1556,3485
1434,3436; 3485; 3627; 9612; 10617
127,4164; 10355; 10811; 12743
557,6668; 10355
1219,13173
115,9030; 13065
1243,2069
1748,12980
385,8028
1212,8972; 10018
1743,12980
1249,4358
1111,8754
1109,8754
1105,8754
1316,9945; 13617; 13688; 13689; 13810; 13817; 13879
1108,8754
448,13171
1342,4358
828,5588
529,2665; 5511; 9618; 13128
1110,8754; 11741
110,2712; 4150; 4358; 5985; 6567; 10961; 11183; 11437; 11731; 12180
105,2790; 6351; 9213; 9923; 10623; 10742; 12553; 13063; 13064
1226,4125
229,4632
480,6045; 7881; 7882
1171,4185; 4425; 9579; 13819
190,1564; 2327; 2418; 2442; 2456; 2523; 2755; 2814; 2872; 2974; 3171; 3173; 3762; 3792; 4277; 4279; 4282; 4488; 4494; 4496; 4499; 4501; 5317; 5415; 5480; 5485; 5729; 5777; 5796; 5932; 5953; 6498; 6526; 6622; 6646; 6670; 6872; 7182; 7230; 7565; 7870; 8106; 8107; 8108; 9053; 9055; 9058; 9062; 9213; 9795; 12521
423,3989; 6622; 8986; 9062; 12479
422,9601; 13162; 13163
1380,4622
444,9593; 10093; 11741
573,3762
525,10457
468,2974; 3822; 5479; 13201
1172,3436; 4272; 4425
1070,10083
334,4150; 4265
957,9688; 10083
699,8650
527,10093; 10457; 13810; 13819
1150,3758
1240,5803
376,7918; 13123
60,8181; 12839; 13686; 13692; 13747; 13748; 13749
1532,3266; 9761
244,2980; 2987; 10961; 12096; 13118; 13132; 13135; 13140; 13174; 13220; 13221; 13531; 13596
137,12828
1673,9895
314,6175
317,5953; 6441; 13241
1439,8730
1429,2730; 10355
1321,13617; 13688
1261,6470
1433,10617
1435,3436; 3627; 9612
564,3822; 4168; 8454; 13205; 13206; 13510
249,1898; 10591
1284,11741
325,4276; 5432; 6351; 8354; 9693; 9795
1066,2882; 3000; 6671; 13127
293,2592; 2593; 5817; 5818; 5819
141,2584; 4043; 8857; 9513; 11352; 13086
811,4358; 5999
21,3006; 11471
540,2330
192,2427; 12521
191,3040; 6646; 12521
892,2339; 3085; 3107; 3307; 4141; 4259; 4314; 4469; 5871; 6065; 12828
96,2812; 2823; 4113
987,13078
1282,1869
64,2539; 2595; 2799; 2899; 3121; 3736; 4086; 4358; 4368; 6159; 6756; 7636; 8474; 10835; 11141; 11877; 13073; 13437; 13707
1009,2784
354,2788; 2926; 2931; 3072; 5652; 5706; 5897; 6331; 6332; 6333; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 7881; 13502; 13507; 13544; 13547; 13550
367,1575; 2949; 5824; 9523; 9873; 11569
467,3080; 5910; 6025; 6198
937,5626; 7545
292,2638; 3890
591,6620
1521,13684
1545,13694
1515,8906
938,13186
1559,5805
962,4358; 13073
140,7565; 9361; 11114
812,5436
1267,10961; 13596
1368,10961
1362,10961
1236,11865; 11909
1166,2755
880,6498
722,5717
120,2670; 8354; 10480
199,6285; 10644
291,2591
224,5786
1281,2591
246,3671; 4164
1518,12839; 13686
305,2854; 2912; 3877; 9213; 10480
1247,7565
151,6159; 7636
112,4497; 6466; 9574
466,4141; 4720; 5901; 6874; 8108; 9361; 11114
465,4607
533,6161
936,10591; 13186
657,2845; 4660; 7512
398,2788; 3296; 4665
1568,10355; 13249; 13707; 13795; 13796
700,5151; 5159; 13227; 13228; 13453; 13454; 13455
813,29
397,2788; 7170; 7881
1147,2943
479,6045; 7170; 7171; 7172
307,7622; 7803; 7815
415,7815; 7874
1504,11385; 12839; 13820
339,3758
219,13067; 13068; 13069; 13070; 13071; 13141
197,6285; 12180
413,1852; 1901; 1903; 3049; 11569; 11575; 13168
515,9052
538,10857
1706,3417
1205,2683; 9201
419,4140; 9213
114,2137; 11307
1178,7879; 9523
1038,6344
416,6345; 6353
445,2069; 4820; 8507; 9593; 9622; 9990; 10355; 12180; 12500; 12553; 12742; 12743; 13707
157,7636; 7637
1554,1659
688,8972; 10146; 11741
427,6668; 8578; 9546; 10412; 10413; 10414; 10415; 11487
205,8752
524,13197
1373,5894; 13863
960,3744; 5706; 8986
840,3040; 5693; 8986; 10168
720,8825
1608,3822
73,11865; 11877
1283,40; 7305; 8156
270,1985; 10452; 10528; 12479; 12553; 12613; 13248; 13721; 13788
1280,11437
1610,12479
159,7636
1493,3266; 9761; 9764; 13855; 13859
