tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6453,P4050,blo bzang dar rgyas,blo bzang dar rgyas,blo bzang dar rgyas,bo-x-ewts
6455,P4052,blo bzang bstan pa'i rgyal   mtshan,blo bzang bstan pa'i rgyal   mtshan,blo bzang bstan pa'i rgyal   mtshan,bo-x-ewts
6459,P4057,blo bzang bstan pa'i nyi ma,blo bzang bstan pa'i nyi ma,blo bzang bstan pa'i nyi ma,bo-x-ewts
6462,P4061,author of ti se'i gnas yig,ngag dbang 'phrin las,ngag dbang 'phrin las,bo-x-ewts
6464,P4063,author of gnas yig to na lendra'i   gtsug lag khang,blo gros rgya mtsho,blo gros rgya mtsho,bo-x-ewts
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,dga' ldan khri chen 39 dkon mchog chos bzang,bo-x-ewts
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,stod lung pa dkon mchog chos bzang,bo-x-ewts
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,dga' ldan khri pa 39 dkon mchog chos bzang,bo-x-ewts
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,Tolungwa Konchok Chozang,en
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,Ganden Tripa 39 Konchok Chozang ,en
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,Ganden Trichen 39 Konchok Chozang ,en
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,Trichen Konchok Chozang,en
6466,P4065,"The Thirty-Ninth Ganden Tripa, Konchok Chozang",dga' ldan khri pa 39 dkon mchog chos bzang,khri chen dkon mchog chos bzang,bo-x-ewts
6468,P4067,blo bzang don grub,blo bzang don grub,blo bzang don grub,bo-x-ewts
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,thub bstan chos kyi grags pa,bo-x-ewts
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,d+ha rma kI rti,bo-x-ewts
6470,P4069,Minyak Kunzang Sonam,mi nyag kun bzang bsod nams,mi nyag kun bsod,bo-x-ewts
